sold_date,address,location,boarea,biarea,rooms,plot,price
9 mars 2022,Rondan 19,"Ödsmålsmosse, Kungälvs kommun",60.0,60.0,4.0,1927.0,5400000.0
9 mars 2022,Tvetgatan 289,"Bohuslän, Kungälvs kommun",130.0,9.0,5.0,127.0,4440000.0
7 mars 2022,Marias väg 35,"Aröd, Kungälvs kommun",70.0,9.0,3.0,1225.0,3450000.0
6 mars 2022,Thorilds gränd 12,"Centralt, Kungälvs kommun",83.0,9.0,6.0,470.0,8000000.0
4 mars 2022,Västra gatan 31,"Gamla Staden, Kungälvs kommun",262.0,9.0,9.0,636.0,8800000.0
3 mars 2022,Östergårdsgatan 20,"Ytterby, Kungälvs kommun",133.0,65.0,6.0,1154.0,5720000.0
3 mars 2022,Glose 660,"Kärna, Kungälvs kommun",60.0,65.0,3.0,1703.0,3330000.0
3 mars 2022,Ivar Claessons gata 10,"Kungälv - Centralt, Kungälvs kommun",105.0,53.0,5.0,967.0,5300000.0
24 februari 2022,Häljeröd 170,"Romelanda, Kungälvs kommun",102.0,48.0,4.0,13432.0,5750000.0
21 februari 2022,Hallsbergsvägen 7,"Kode, Kungälvs kommun",172.0,85.0,7.0,3363.0,5450000.0
19 februari 2022,Grandalen 200,"Romelanda, Kungälvs kommun",115.0,21.0,4.0,1937.0,4290000.0
18 februari 2022,Fontinvägen 23,"Centralt, Kungälvs kommun",168.0,75.0,6.0,1402.0,5900000.0
17 februari 2022,Lefstadvägen 35,"Kärna, Kungälvs kommun",127.0,61.0,5.0,1255.0,5700000.0
